Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
7,Darius Bazley,PF,8-Jun,208,21,Oklahoma City Thunder,2,,2019 Rnd 1 Pick 23,United States
3,Bradley Beal,SG,3-Jun,207,28,Washington Wizards,9,Florida,2012 Rnd 1 Pick 3,United States
5,Malik Beasley,SG,4-Jun,196,25,Minnesota Timberwolves,5,Florida State,2016 Rnd 1 Pick 19,United States
95,DeAndre' Bembry,GF,5-Jun,210,27,Brooklyn Nets,5,Saint Joseph's,2016 Rnd 1 Pick 21,United States
42,Davis Bertans,SF,10-Jun,225,29,Washington Wizards,5,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
22,Patrick Beverley,PG,1-Jun,180,33,Minnesota Timberwolves,9,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
41,Saddiq Bey,F,8-Jun,215,22,Detroit Pistons,1,Villanova,2020 Rnd 1 Pick 19,United States
24,Khem Birch,PF,9-Jun,230,29,Toronto Raptors,4,UNLV,"2014 NBA Draft, Undrafted",Canada
88,Goga Bitadze,C,11-Jun,245,22,Indiana Pacers,2,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia
8,Nemanja Bjelica,PF,10-Jun,235,33,Golden State Warriors,6,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
12,Eric Bledsoe,PG,1-Jun,214,31,Los Angeles Clippers,11,Kentucky,2010 Rnd 1 Pick 18,United States
21,Keljin Blevins,G,4-Jun,200,26,Portland Trail Blazers,1,Montana State,"2019 NBA Draft, Undrafted",United States
13,Bogdan Bogdanovic,SG,6-Jun,220,29,Atlanta Hawks,4,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
44,Bojan Bogdanovic,F,8-Jun,216,32,Utah Jazz,7,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina
10,Bol Bol,C,2-Jul,209,22,Denver Nuggets,2,Oregon,2019 Rnd 2 Pick 14,United States
9,Leandro Bolmaro,SG,6-Jun,200,21,Minnesota Timberwolves,0,FC Barcelona II (Spain),2020 Rnd 1 Pick 23,Argentina
17,Isaac Bonga,SG,8-Jun,180,22,Toronto Raptors,3,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany
1,Devin Booker,SG,6-Jun,206,25,Phoenix Suns,6,Kentucky,2015 Rnd 1 Pick 13,United States
4,"Brandon Boston, Jr.",SG,6-Jun,188,20,Los Angeles Clippers,0,Kentucky,2021 Rnd 2 Pick 21,United States
25,Chris Boucher,PF,10-Jun,200,28,Toronto Raptors,4,Oregon,"2017 NBA Draft, Undrafted",Saint Lucia
5,James Bouknight,G,4-Jun,185,21,Charlotte Hornets,0,Connecticut,2021 Rnd 1 Pick 11,United States
20,Avery Bradley,PG,3-Jun,180,31,Los Angeles Lakers,11,Texas,2010 Rnd 1 Pick 19,United States
13,Tony Bradley,C,11-Jun,248,23,Chicago Bulls,4,North Carolina,2017 Rnd 1 Pick 28,United States
17,Ignas Brazdeikis,SF,6-Jun,221,22,Orlando Magic,2,Michigan,2019 Rnd 2 Pick 17,Lithuania
25,Mikal Bridges,SG,7-Jun,210,25,Phoenix Suns,3,Villanova,2018 Rnd 1 Pick 10,United States
0,Miles Bridges,SF,7-Jun,225,23,Charlotte Hornets,3,Michigan State,2018 Rnd 1 Pick 12,United States
12,OShae Brissett,PF,7-Jun,210,23,Indiana Pacers,2,Syracuse,"2019 NBA Draft, Undrafted",Canada
7,Malcolm Brogdon,SG,5-Jun,229,28,Indiana Pacers,5,Virginia,2016 Rnd 2 Pick 6,United States
7,Armoni Brooks,SG,3-Jun,195,23,Houston Rockets,1,Houston,"2019 NBA Draft, Undrafted",United States
24,Dillon Brooks,F,6-Jun,215,25,Memphis Grizzlies,4,Oregon,2017 Rnd 2 Pick 15,Canada
4,Greg Brown III,SF,8-Jun,206,20,Portland Trail Blazers,0,Texas,2021 Rnd 2 Pick 13,United States
38,Chaundee Brown,SF,5-Jun,215,23,Los Angeles Lakers,0,Michigan,"2021 NBA Draft, Undrafted",United States
7,Jaylen Brown,SF,6-Jun,220,25,Boston Celtics,5,California,2016 Rnd 1 Pick 3,United States
1,"Bruce Brown, Jr.",SG,4-Jun,202,25,Brooklyn Nets,3,Miami (FL),2018 Rnd 2 Pick 12,United States
7,"Troy Brown, Jr.",SF,6-Jun,215,22,Chicago Bulls,3,Oregon,2018 Rnd 1 Pick 15,United States
9,Moses Brown,C,1-Jul,245,22,Dallas Mavericks,2,UCLA,"2019 NBA Draft, Undrafted",United States
0,Sterling Brown,G,5-Jun,219,26,Dallas Mavericks,4,Southern Methodist,2017 Rnd 2 Pick 16,United States
13,Jalen Brunson,PG,1-Jun,190,25,Dallas Mavericks,3,Villanova,2018 Rnd 2 Pick 3,United States
13,Thomas Bryant,C,10-Jun,248,24,Washington Wizards,4,Indiana,2017 Rnd 2 Pick 12,United States
25,Reggie Bullock,SG,7-Jun,205,30,Dallas Mavericks,8,North Carolina,2013 Rnd 1 Pick 25,United States
3,Trey Burke,G,1-Jun,185,29,Dallas Mavericks,8,Michigan,2013 Rnd 1 Pick 9,United States
18,Alec Burks,SG,6-Jun,214,30,New York Knicks,10,Colorado,2011 Rnd 1 Pick 12,United States
13,Jared Butler,PG,3-Jun,195,21,Utah Jazz,0,Baylor,2021 Rnd 2 Pick 10,United States
22,Jimmy Butler,GF,8-Jun,232,32,Miami Heat,10,Marquette,2011 Rnd 1 Pick 30,United States
16,Devontae Cacok,PF,7-Jun,240,25,San Antonio Spurs,2,UNC Wilmington,"2019 NBA Draft, Undrafted",United States
1,Kentavious Caldwell-Pope,SG,5-Jun,204,28,Washington Wizards,8,Georgia,2013 Rnd 1 Pick 8,United States
7,Facundo Campazzo,PG,11-May,165,30,Denver Nuggets,1,Penarol (Argentina),"2013 NBA Draft, Undrafted",Argentina
31,Vlatko Cancar,SF,8-Jun,236,24,Denver Nuggets,2,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia
15,Clint Capela,PF,10-Jun,240,27,Atlanta Hawks,7,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
22,"Vernon Carey, Jr.",PF,9-Jun,258,20,Charlotte Hornets,1,Duke,2020 Rnd 2 Pick 2,United States
0,Jevon Carter,PG,1-Jun,195,26,Brooklyn Nets,3,West Virginia,2018 Rnd 2 Pick 2,United States
34,"Wendell Carter, Jr.",PF,10-Jun,270,22,Orlando Magic,3,Duke,2018 Rnd 1 Pick 7,United States
7,Michael Carter-Williams,PG,6-Jun,195,30,Orlando Magic,8,Syracuse,2013 Rnd 1 Pick 11,United States
6,Alex Caruso,G,4-Jun,186,27,Chicago Bulls,4,Texas A&M,"2016 NBA Draft, Undrafted",United States
33,Willie Cauley-Stein,C,1-Jul,240,28,Dallas Mavericks,6,Kentucky,2015 Rnd 1 Pick 6,United States
11,Justin Champagnie,F,6-Jun,200,21,Toronto Raptors,0,Pittsburgh,"2021 NBA Draft, Undrafted",United States
2,Chris Chiozza,PG,11-May,175,26,Golden State Warriors,3,Florida,"2018 NBA Draft, Undrafted",United States
9,Josh Christopher,G,5-Jun,215,19,Houston Rockets,0,Arizona State,2021 Rnd 1 Pick 24,United States
12,Gary Clark,SF,6-Jun,225,27,New Orleans Pelicans,3,Cincinnati,"2018 NBA Draft, Undrafted",United States
